person,date,event,lust,representation,beHer,genderConstruct,girlPower,gaySeeGay,publicOpinion,trueSelves
jan,May 2023,Queer Ultimatum,,1,,,,,,
jan,August 2023,Bottoms,,,,,,1,,
jan,August 2023,Reneé Rapp,1,,,,1,,,
jan,September 2023,Chappell Roan (knee deep in the passenger seat),,,,,,1,,
jan,May 2024,Megan G6 Freestyle - strap on,,,1,1,,,,
jan,July 2024,Ilona Maher,1,,1,,1,,,
jan,July 2024,Melissa Etheridge David Crosby sperm donor,,,,,,,,
jan,September 2024,Alex Morgan and the Lesbians,,,,,1,,,
jan,February 2025,Kehlani KWN Worst Behavior,1,,,,,,,
jan,April 2025,Studyoncé,,,,,,,,
jan,July 2025,Stud Budz,,,,,,1,,1
jan,July 2025,Hunting Wives,,,1,,,,,
jan,August 2025,K-Pop Demon Hunters,,,,,,1,,
jan,December 2025,END,,,,,,,,
